year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
1990,Nebraska,79,79,674,41,42,236,86,39,80,14,73,14,5,112,20,3,4,66,35,11,15,4226,0,7,28,38,11,4865,1507,310,243,54,5,8,153,117,36,3,2,1,11
1990,Nevada,474,324,2105,66,98,341,347,59,123,46,236,27,26,806,60,4204,35,133,315,67,2560,610,23,44,104,156,49,4062,2137,2268,1534,326,331,77,552,472,80,20,20,0,55
1990,New Hampshire,52,90,287,12,1,56,18,3,12,4,190,2,7,22,4,2,0,4,8,8,6,83,1,7,14,45,12,723,461,143,116,23,1,3,78,67,11,0,0,0,1
1990,New Jersey,179,431,2542,38,29,140,102,35,83,29,638,13,78,172,29,17,8,36,69,127,31,276,4,15,269,201,13,3321,6045,890,638,217,9,26,671,644,27,15,14,1,106
1990,New Mexico,5593,126,1538,168,187,330,627,208,219,56,215,196,26,77927,136,53,65,121,32746,91,92,895,81,28,96,162,38,1997,10338,565,408,119,13,25,188,149,39,3,3,0,5
1990,New York,456,1103,5545,69,57,510,229,71,162,53,18531,33,118,273,42,21,15,77,288,255,51,666,15,48,1042,754,39,6148,25980,2174,1496,586,30,62,1875,1803,72,65,58,7,343
1990,North Carolina,259,335,13074,28,68,317,232,59,216,30,1792,38,42397,276,37,9,13,45,70,96,33,780,14,27,178,152,13,5732,13835,1428,963,416,12,37,713,636,77,6,6,0,49
1990,North Dakota,22,66,115,58,5,12235,17,4,20,65,24,1,12,53,3,4,2,7,14,7,17,6984,0,5,9,38,2,4162,1966,87,76,9,1,1,43,30,13,2,2,0,13
1990,Ohio,523,979,7628,86,62,729,367,61,171,43,913,41,149,275,47,19,23,85,140,183,58,718,23,28,269,230,23,1945,4540,994,785,180,14,15,375,333,42,7,6,1,80
1990,Oklahoma,1760,390,94460,2991,12772,570,43062,5284,23955,90,1830,6357,74,924,4500,33,50,4468,357,6372,107,1156,52,43,129,202,16,23827,16589,944,712,203,6,23,580,451,129,8,3,5,29
1990,Oregon,679,1024,5538,211,197,1621,903,118,310,98,402,71,24,617,226,470,59,177,163,136,184,1932,49,170,508,545,382,16869,4813,3275,2415,565,169,126,1332,701,631,242,239,3,188
1990,Pennsylvania,313,600,3387,56,43,315,135,44,121,35,1156,28,223,212,21,24,10,68,66,175,31,494,12,34,259,264,27,2198,4382,1221,859,311,30,21,349,307,42,5,4,1,79
1990,Rhode Island,35,70,329,2,3,30,27,1,8,4,129,0,11,25,7,0,0,4,10,13,2,52,0,1,42,42,1,2135,1088,134,112,20,0,2,137,134,3,25,25,0,10
1990,South Carolina,87,120,2425,11,37,89,109,36,105,14,133,11,540,82,10,10,6,34,47,55,4,191,0,8,91,106,5,1479,2401,609,426,159,15,9,345,317,28,0,0,0,29
1990,South Dakota,36,81,194,229,5,539,36,17,29,34,54,16,3,151,10,8,3,20,36,25,15,44188,3,6,12,62,14,827,3922,117,74,13,22,8,56,50,6,2,2,0,10
1990,Tennessee,201,156,5053,15,79,208,460,73,201,12,170,19,113,100,44,18,5,59,50,48,6,234,6,5,84,96,11,603,1910,632,503,120,1,8,240,209,31,3,2,1,20
1990,Texas,2181,823,15980,265,2252,886,7967,1440,2134,102,748,539,185,1512,664,75,65,996,1277,504,124,1545,108,87,807,721,89,7336,14465,4725,2979,916,630,200,2516,2209,307,61,56,5,239
1990,Utah,331,157,767,86,41,257,135,40,82,41,134,14,14,12861,16,647,44,58,439,30,568,707,10,22,74,116,20,4342,2230,7313,1396,1570,3904,443,231,148,83,52,51,1,79
1990,Vermont,30,65,139,6,1,22,2,3,2,6,125,0,5,12,4,0,4,11,5,2,12,33,4,1,14,32,2,820,334,43,25,18,0,0,32,24,8,3,3,0,3
1990,Virginia,261,385,4144,53,87,363,336,132,246,34,487,37,576,266,61,23,21,86,165,111,29,510,26,27,189,200,36,3378,3013,1883,1384,440,6,53,1058,923,135,11,7,4,65
1990,Washington,747,2838,6376,371,252,3610,885,154,381,218,687,79,73,774,177,184,56,322,278,193,284,3084,34,482,2065,1791,2291,42687,10110,10199,5423,4130,448,198,4231,3779,452,303,293,10,307
1990,West Virginia,59,92,951,11,11,24,23,18,13,5,47,8,21,36,5,4,5,9,10,6,10,73,4,2,37,36,3,187,748,125,91,28,5,1,43,41,2,2,2,0,6
1990,Wisconsin,182,207,1163,37,33,12566,109,64,75,23,7423,32,32,116,19,13,31,922,44,14,22,597,9,32,220,181,28,11348,3845,485,371,106,2,6,247,229,18,9,2,7,60
1990,Wyoming,61,85,412,210,13,284,77,16,38,129,22,18,2,244,8,16,11,18,56,14,1883,892,1,14,16,37,10,4075,817,125,93,25,2,5,39,35,4,0,0,0,4
2000,Alabama,211,119,8980,15,75,157,2364,29,2796,19,115,20,101,95,8,3,3,36,38,66,6,172,2,18,24,23,16,753,5724,585,359,209,6,11,627,577,50,3,2,1,181
