year,state,Apache,Blackfoot,Cherokee,Cheyenne,Chickasaw,Chippewa,Choctaw,Comanche,Creek,Crow,Iroquois,Kiowa,Lumbee,Navajo,Osage,Paiute,Pima,Potawatomi,Pueblo,Seminole,Shoshone,Sioux,Tohono O'Odham,Alaska Native--Alaskan Athabaskan,Alaska Native--Aleut,Alaska Native--Eskimo,Alaska Native--Tlingit,American Indian and Alaska Native--All other tribes,American Indian and Alaska Native--Tribe not specified,Native Hawaiian and Other Pacific Islander--Polynesian,Native Hawaiian and Other Pacific Islander--Polynesian--Hawaiian,Native Hawaiian and Other Pacific Islander--Polynesian--Samoan,Native Hawaiian and Other Pacific Islander--Polynesian--Tongan,Native Hawaiian and Other Pacific Islander--Polynesian--Other Polynesian,Native Hawaiian and Other Pacific Islander--Micronesian,Native Hawaiian and Other Pacific Islander--Micronesian--Guamanian,Native Hawaiian and Other Pacific Islander--Micronesian--Other Micronesian,Native Hawaiian and Other Pacific Islander--Melanesian,Native Hawaiian and Other Pacific Islander--Melanesian--Fijian,Native Hawaiian and Other Pacific Islander--Melanesian--Other Melanesian,Native Hawaiian and Other Pacific Islander--Other
2010,Florida,725,778,8943,103,330,1470,1200,169,3682,77,1425,83,997,519,135,50,22,333,187,2865,70,1000,28,132,83,190,153,14987,29460,4564,2809,1153,445,157,4645,3747,898,179,155,24,2718
2010,Georgia,297,280,5241,42,128,416,476,66,974,18,310,22,491,295,61,12,16,121,77,108,11,374,34,52,44,76,32,5090,16518,2324,1319,919,34,52,3405,2746,659,124,120,4,815
2010,Hawaii,156,90,476,11,31,77,103,17,33,3,56,10,29,220,17,15,13,19,81,18,7,105,8,29,43,59,42,733,1557,104114,80337,18287,4830,660,23629,2700,20929,329,282,47,1707
2010,Idaho,231,222,1174,91,85,444,311,36,74,50,88,15,30,780,47,123,31,92,52,30,568,506,38,82,64,89,141,10512,4992,1242,637,387,176,42,788,543,245,41,36,5,156
2010,Illinois,536,361,3462,59,88,1352,530,88,189,34,569,57,106,506,69,30,46,294,124,58,26,829,36,44,53,115,49,8602,25064,1697,1122,492,44,39,1245,1100,145,88,80,8,957
2010,Indiana,277,375,3036,43,83,618,323,64,186,36,255,24,101,230,39,18,12,368,62,27,26,508,11,23,40,63,43,3865,7261,1138,728,326,60,24,770,636,134,22,15,7,380
2010,Iowa,105,109,768,41,47,367,120,40,59,20,79,37,27,112,19,14,19,75,15,22,8,1417,7,18,21,34,22,3669,3540,548,381,128,23,16,1147,313,834,7,5,2,263
2010,Kansas,466,193,5642,157,312,360,1156,212,766,77,413,233,69,731,407,39,39,2511,109,172,32,898,27,26,57,54,41,5172,7093,876,505,325,29,17,1021,571,450,31,30,1,263
2010,Kentucky,154,155,2783,29,52,224,181,30,90,16,153,17,94,133,28,12,13,59,43,44,11,257,8,26,21,38,16,1223,3965,949,541,368,20,20,1184,866,318,38,26,12,259
2010,Louisiana,158,124,2712,17,155,144,1644,61,323,10,94,21,71,139,41,17,8,78,36,48,21,223,4,39,16,18,17,12506,11454,755,466,252,22,15,836,738,98,20,19,1,301
2010,Maine,38,56,246,4,15,81,28,8,18,7,84,5,19,53,6,7,1,15,9,12,2,86,3,7,22,35,6,5618,1918,192,115,67,3,7,86,67,19,6,3,3,44
2010,Maryland,146,268,2198,33,50,228,176,50,108,29,246,17,1100,251,33,11,8,55,82,71,8,241,13,23,27,59,29,4249,10328,991,634,308,26,23,1486,1319,167,68,51,17,561
2010,Massachusetts,78,246,787,11,33,201,91,24,50,6,413,11,47,158,19,5,17,48,89,31,18,171,11,16,16,39,27,6485,9419,766,520,210,23,13,752,671,81,38,32,6,642
2010,Michigan,379,496,3396,39,92,23564,366,94,238,18,1260,15,629,292,30,10,18,2881,78,58,29,614,13,64,54,86,67,8414,17457,1187,753,359,54,21,729,521,208,42,36,6,616
2010,Minnesota,133,123,528,62,32,33165,167,45,58,59,238,28,33,225,23,18,17,163,47,24,25,5418,19,46,61,104,29,3392,16291,948,573,299,60,16,697,378,319,48,40,8,440
2010,Mississippi,107,53,947,13,100,87,7539,20,171,9,41,5,37,87,18,7,6,49,15,57,6,131,3,22,17,16,8,1009,4222,397,252,135,5,5,636,560,76,5,5,0,135
2010,Missouri,392,375,8081,84,345,493,1141,120,463,43,700,66,105,344,246,18,26,401,101,116,53,825,18,56,57,75,69,3658,8115,2632,958,1557,74,43,2804,969,1835,54,50,4,611
2010,Montana,162,11210,473,5232,36,2528,126,26,30,7949,65,18,18,434,29,43,13,113,57,25,122,1809,22,49,57,111,76,22345,8318,443,295,123,17,8,123,107,16,15,13,2,75
2010,Nebraska,91,57,448,44,40,219,130,16,65,8,68,12,13,168,4,10,17,88,20,9,22,4294,2,19,9,30,11,7210,5097,405,227,164,12,2,681,501,180,20,15,5,151
2010,Nevada,642,236,1682,55,179,476,548,72,155,39,216,40,53,1821,58,4027,70,171,301,54,1317,640,66,65,75,114,110,8662,9405,10932,6459,3202,1100,171,4025,3513,512,254,251,3,1055
2010,New Hampshire,36,101,259,3,12,65,40,6,14,3,137,3,27,48,6,6,0,11,18,7,2,71,1,4,14,32,5,1010,1095,151,120,25,3,3,136,110,26,4,4,0,90
2010,New Jersey,103,213,1344,11,42,130,78,20,65,9,326,4,98,110,19,24,7,45,125,54,17,174,11,21,24,24,23,8092,17575,955,674,234,17,30,977,915,62,52,43,9,1032
2010,New Mexico,7778,165,1221,184,235,430,792,240,242,99,205,1202,43,108306,100,58,138,142,38321,93,97,1136,171,65,40,114,99,4435,24224,1024,660,302,16,46,482,420,62,24,22,2,241
2010,New York,337,606,2714,47,68,548,263,69,155,52,16957,24,127,347,31,25,13,83,556,107,22,628,59,57,48,111,60,23138,58832,2674,1802,685,80,107,2444,2235,209,174,157,17,3378
2010,North Carolina,295,348,13942,66,127,566,437,78,278,25,1515,42,52905,418,53,27,27,114,86,96,36,533,28,58,83,98,52,12158,36810,2212,1389,716,54,53,3436,2505,931,40,34,6,830
2010,North Dakota,28,34,103,74,9,14977,34,8,7,78,23,3,10,98,2,7,8,17,22,4,34,10149,1,10,5,26,12,3046,7583,152,88,49,8,7,124,65,59,6,6,0,31
2010,Ohio,362,642,5386,57,111,807,339,84,169,38,570,33,235,310,47,21,15,125,75,87,28,613,22,47,43,83,48,3897,10260,1686,928,702,30,26,1573,1145,428,62,46,16,703
2010,Oklahoma,2125,225,114533,2152,16826,541,51431,6413,28364,118,2398,5724,79,1310,4746,35,85,5428,300,7429,109,1280,55,72,102,122,70,27509,33951,1387,942,411,27,7,2429,924,1505,32,27,5,424
2010,Oregon,659,737,4027,190,336,1388,1416,78,312,87,340,62,64,824,235,466,117,307,152,93,113,1513,51,274,329,388,647,22892,13156,5449,3060,1559,759,71,5648,1755,3893,669,646,23,1289
2010,Pennsylvania,215,447,2612,50,50,348,227,49,130,23,942,40,250,252,18,9,19,85,92,105,36,491,34,58,63,56,48,4700,14906,1519,940,453,85,41,1076,968,108,55,39,16,951
2010,Rhode Island,14,61,196,2,9,23,9,5,4,0,60,1,15,28,1,0,0,6,12,6,1,54,7,3,0,13,1,2795,2623,143,96,40,3,4,244,232,12,25,25,0,132
2010,South Carolina,144,134,3126,13,108,204,218,46,196,12,280,12,1585,152,24,3,7,57,49,51,4,319,16,26,17,37,39,4843,7498,834,570,225,27,12,1515,1046,469,13,12,1,302
2010,South Dakota,59,81,155,263,14,576,72,22,21,66,42,15,8,218,10,9,10,40,31,41,29,55948,5,36,20,31,14,1298,12423,168,95,44,27,2,156,148,8,12,12,0,49
2010,Tennessee,263,171,5327,41,172,428,730,46,309,22,308,28,275,228,58,34,25,133,61,81,13,338,13,28,47,70,49,2858,7417,1329,771,516,26,16,1817,1507,310,25,21,4,428
2010,Texas,4729,738,17084,263,3861,1164,12722,1647,2302,119,751,540,403,2759,739,130,150,1373,1904,585,148,1936,164,183,159,257,182,26669,84762,9747,4794,2918,1836,199,8676,6591,2085,319,308,11,2504
2010,Utah,342,125,747,89,66,225,245,51,98,45,150,16,25,14542,25,768,61,86,202,29,552,665,32,38,36,73,51,5949,6872,20182,1911,8246,9395,630,1737,493,1244,175,161,14,965
2010,Vermont,29,62,121,4,4,31,19,5,3,2,102,1,6,20,1,1,2,13,2,0,5,35,0,7,2,6,0,1026,626,74,47,24,0,3,56,43,13,8,5,3,20
2010,Virginia,293,315,3625,44,154,440,484,98,292,44,560,47,798,419,69,13,20,130,135,83,26,473,25,45,59,112,52,7234,12660,2288,1410,749,83,46,2614,2222,392,91,79,12,851
2010,Washington,757,2020,4482,312,315,3035,1196,134,355,229,498,90,165,1319,133,184,82,367,300,123,218,2497,58,644,1411,986,3019,54487,22474,20465,5861,13110,1268,226,14342,9746,4596,2031,2016,15,2486
2010,West Virginia,45,120,1085,9,25,65,42,7,22,8,92,2,52,53,2,8,9,13,6,7,10,84,0,1,5,29,19,427,1434,209,141,51,10,7,111,80,31,23,1,22,78
2010,Wisconsin,202,149,824,39,63,14137,124,84,70,20,4247,21,63,198,35,22,46,1377,39,33,13,768,11,50,32,87,42,20077,11021,770,547,184,19,20,586,387,199,30,23,7,406
2010,Wyoming,86,106,376,172,36,260,126,17,24,156,43,6,6,358,11,16,6,29,28,13,2449,841,12,17,15,22,13,5738,2179,245,147,70,17,11,121,101,20,2,2,0,48
2010,Puerto Rico,24,0,24,1,3,3,19,2,1,0,7,0,0,12,0,0,0,0,27,2,0,3,4,6,8,7,1,5355,14281,150,120,30,0,0,32,30,2,2,2,0,183
